,time,open,high,low,close,tick_volume,spread,real_volume
16844,2020-01-02 00:00:00,18.89565,18.92847,18.82735,18.83095,50071,0,0
16845,2020-01-02 06:00:00,18.8966,18.89867,18.89565,18.89837,182,646,18200000
16846,2020-01-02 06:15:00,18.89837,18.90363,18.89767,18.90207,375,530,37500000
16847,2020-01-02 06:30:00,18.90207,18.90765,18.90187,18.90637,241,536,24100000
16848,2020-01-02 06:45:00,18.90637,18.91307,18.90637,18.91017,531,576,53100000
16849,2020-01-02 07:00:00,18.91017,18.92305,18.90837,18.91847,770,530,77000000
16850,2020-01-02 07:15:00,18.91847,18.92847,18.91807,18.92077,381,530,38100000
16851,2020-01-02 07:30:00,18.92077,18.92321,18.91737,18.91807,381,606,38100000
16852,2020-01-02 07:45:00,18.91807,18.91847,18.90812,18.90917,557,530,55700000
16853,2020-01-02 08:00:00,18.90917,18.91447,18.90882,18.91307,544,641,54400000
16854,2020-01-02 08:15:00,18.91307,18.91745,18.91147,18.91617,682,558,68200000
16855,2020-01-02 08:30:00,18.91617,18.91727,18.91537,18.915869999999998,764,626,76400000
16856,2020-01-02 08:45:00,18.915869999999998,18.91757,18.91477,18.91617,748,556,74800000
16857,2020-01-02 09:00:00,18.91617,18.92037,18.91336,18.91637,1585,530,158500000
16858,2020-01-02 09:15:00,18.91637,18.91637,18.910519999999998,18.91184,1384,530,138400000
16859,2020-01-02 09:30:00,18.91184,18.91255,18.89427,18.89435,965,530,96500000
16860,2020-01-02 09:45:00,18.89435,18.89475,18.88617,18.88947,1393,530,139300000
16861,2020-01-02 10:00:00,18.88887,18.8929,18.87725,18.87998,2038,530,203800000
16862,2020-01-02 10:15:00,18.87998,18.88097,18.87177,18.87906,1558,530,155800000
16863,2020-01-02 10:30:00,18.87897,18.88035,18.86357,18.86446,1390,530,139000000
16864,2020-01-02 10:45:00,18.86446,18.86567,18.85297,18.85662,1395,530,139500000
16865,2020-01-02 11:00:00,18.85662,18.86695,18.85623,18.86127,1445,530,144500000
16866,2020-01-02 11:15:00,18.86137,18.86497,18.85683,18.85827,1135,530,113500000
16867,2020-01-02 11:30:00,18.85837,18.86627,18.85208,18.86567,1362,530,136200000
16868,2020-01-02 11:45:00,18.86567,18.87017,18.86487,18.86887,966,530,96600000
16869,2020-01-02 12:00:00,18.86887,18.87273,18.868,18.8723,927,530,92700000
16870,2020-01-02 12:15:00,18.8723,18.88036,18.86907,18.88036,1205,530,120500000
16871,2020-01-02 12:30:00,18.88036,18.89965,18.88001,18.89188,1519,530,151900000
16872,2020-01-02 12:45:00,18.89188,18.89863,18.89188,18.89463,1482,530,148200000
16873,2020-01-02 13:00:00,18.89463,18.89587,18.87097,18.87557,1448,556,144800000
16874,2020-01-02 13:15:00,18.87587,18.87828,18.87433,18.87787,1377,566,137700000
16875,2020-01-02 13:30:00,18.87768,18.89657,18.87768,18.89607,1706,530,170600000
16876,2020-01-02 13:45:00,18.89607,18.91387,18.89607,18.90907,1479,530,147900000
16877,2020-01-02 14:00:00,18.90907,18.91757,18.89557,18.89717,1356,530,135600000
16878,2020-01-02 14:15:00,18.89717,18.90037,18.88857,18.88997,1509,530,150900000
16879,2020-01-02 14:30:00,18.88997,18.90578,18.88617,18.88927,1880,530,188000000
16880,2020-01-02 14:45:00,18.88927,18.89097,18.882,18.88287,1473,530,147300000
16881,2020-01-02 15:00:00,18.88347,18.88757,18.87207,18.88278,2321,530,232100000
16882,2020-01-02 15:15:00,18.88278,18.88498,18.87574,18.87665,2149,530,214900000
16883,2020-01-02 15:30:00,18.877,18.88627,18.87538,18.87787,2429,530,242900000
16884,2020-01-02 15:45:00,18.87787,18.88047,18.86217,18.87108,2276,530,227600000
16885,2020-01-02 16:00:00,18.87067,18.88007,18.86556,18.87972,2609,530,260900000
16886,2020-01-02 16:15:00,18.87972,18.90647,18.87687,18.89857,2952,530,295200000
16887,2020-01-02 16:30:00,18.89857,18.90124,18.87208,18.88609,4703,530,470300000
16888,2020-01-02 16:45:00,18.88609,18.89104,18.86796,18.87216,3087,530,308700000
16889,2020-01-02 17:00:00,18.87204,18.89917,18.87151,18.89771,2837,530,283700000
16890,2020-01-02 17:15:00,18.89771,18.90697,18.88947,18.89406,5052,530,505200000
16891,2020-01-02 17:30:00,18.89414,18.89715,18.87987,18.886870000000002,4574,530,457400000
16892,2020-01-02 17:45:00,18.886870000000002,18.88727,18.87077,18.87711,4698,530,469800000
16893,2020-01-02 18:00:00,18.87711,18.879269999999998,18.86989,18.87107,3448,530,344800000
16894,2020-01-02 18:15:00,18.87107,18.89737,18.87097,18.87559,2659,530,265900000
16895,2020-01-02 18:30:00,18.87503,18.89163,18.87463,18.88961,2635,530,263500000
16896,2020-01-02 18:45:00,18.88961,18.89065,18.87207,18.88877,2747,530,274700000
16897,2020-01-02 19:00:00,18.88867,18.89297,18.88036,18.88157,2392,530,239200000
16898,2020-01-02 19:15:00,18.88177,18.8863,18.87757,18.87873,1995,530,199500000
16899,2020-01-02 19:30:00,18.87873,18.88927,18.87307,18.88577,1637,530,163700000
16900,2020-01-02 19:45:00,18.88567,18.89746,18.88487,18.89239,1988,530,198800000
16901,2020-01-02 20:00:00,18.89239,18.89437,18.87787,18.88217,1932,530,193200000
16902,2020-01-02 20:15:00,18.88217,18.88459,18.86617,18.86787,2658,530,265800000
16903,2020-01-02 20:30:00,18.86787,18.87257,18.86697,18.86757,1287,530,128700000
16904,2020-01-02 20:45:00,18.86757,18.86827,18.8607,18.86535,1455,530,145500000
16905,2020-01-02 21:00:00,18.86535,18.86637,18.85548,18.86447,1849,530,184900000
16906,2020-01-02 21:15:00,18.86447,18.86527,18.850929999999998,18.85307,1803,530,180300000
